contig,lg,Tce_F_CC22B,Tce_F_CC22C,Tce_F_CC24B,Tce_F_CC24C,Tce_F_CC25B,Tce_M_05_HM15,Tce_M_06_HM16,Tce_M_07_HM33,Tce_M_08_HM61
lgNA_ordNA_scaf821,lgNA,25.75211051419800460475825019,16.78741366078280890253261704,21.70414428242517267843438219,15.46891788181120491174213354,17.22141212586339217191097467,36.11742133537989255564082886,37.10782808902532617037605526,32.53146584804297774366845741,33.31926323867996930161166539
lgNA_ordNA_scaf822,lgNA,0.9516129032258064516129032258,0.3632872503840245775729646697,0.3847926267281105990783410138,0.8294930875576036866359447005,0.2995391705069124423963133641,1.406298003072196620583717358,0.4562211981566820276497695853,0.6881720430107526881720430108,0.7434715821812596006144393241
lgNA_ordNA_scaf823,lgNA,40.75185643564356435643564356,28.50309405940594059405940594,30.64170792079207920792079208,28.31621287128712871287128713,28.98019801980198019801980198,57.27413366336633663366336634,54.18688118811881188118811881,45.27846534653465346534653465,54.16893564356435643564356436
lgNA_ordNA_scaf824,lgNA,13.68974661166764879198585740,11.41897466116676487919858574,11.97200942840306423099587507,11.65321154979375368296994697,10.18149675898644667059516794,31.99322333529758397171479081,26.88332351208014142604596346,24.11638185032410135533294048,26.34325279905715969357690041
lgNA_ordNA_scaf825,lgNA,107.9431920649233543733092876,99.43372407574391343552750225,90.78268710550045085662759243,70.77006311992786293958521190,77.51938683498647430117222723,101.8972046889089269612263300,86.97745716862037871956717764,85.92696122633002705139765555,78.89990982867448151487826871
lgNA_ordNA_scaf826,lgNA,3.790720631786771964461994077,6.256663376110562685093780849,3.953603158933859822309970385,3.362290227048371174728529121,3.256663376110562685093780849,11.00296150049358341559723593,9.416584402764067127344521224,13.00691016781836130306021718,9.388943731490621915103652517
lgNA_ordNA_scaf827,lgNA,0.3273092369477911646586345382,0.09170013386880856760374832664,0,0.06291834002677376171352074967,0.1291834002677376171352074967,0.1593038821954484605087014726,0.1680053547523427041499330656,0.3440428380187416331994645248,0.1572958500669344042838018742
lgNA_ordNA_scaf828,lgNA,0.8132254660569820612029546254,0.3893774182201899402040098488,0.3552585297221245163559620120,0.4569117129792472740063313401,0.3517411185367569468870911009,0.4245515300738656348927189588,0.8821667252901864227928244812,0.4829405557509672880759760816,0.4565599718607105170594442490
lgNA_ordNA_scaf829,lgNA,18.73904939422180801491146319,14.31686859273066169617893756,16.84995340167753960857409133,12.62441752096924510717614166,15.06710158434296365330848089,28.36253494874184529356943150,27.58061509785647716682199441,26.69990680335507921714818267,26.25815470643056849953401678
lgNA_ordNA_scaf83,lgNA,1.084545454545454545454545455,0.8836363636363636363636363636,0.1827272727272727272727272727,1.051818181818181818181818182,0.1672727272727272727272727273,1.661818181818181818181818182,1.275454545454545454545454545,1.675454545454545454545454545,2.164545454545454545454545455
lgNA_ordNA_scaf830,lgNA,0.9622279129321382842509603073,1.225352112676056338028169014,1.418693982074263764404609475,0.9046094750320102432778489117,0.5172855313700384122919334187,2.768886043533930857874519846,2.058898847631241997439180538,2.446862996158770806658130602,3.923175416133162612035851472
